"date","ScatRed3000","ScatGreen3000","ScatBlue3000","RH3000","SAE3000","ScatRed4000","ScatGreen4000","ScatBlue4000","RH4000","SAE4000","fRHRed","fRHGreen","fRHBlue"
"2023-05-09",47.8211859619715,58.2915563571204,72.4446236765647,55.9998618055556,1.19271989175198,32.5344588820842,43.2431586164749,55.3032769553668,30.2657777777778,1.53755103100666,1.48238494737968,1.34968297323588,1.31299077269398
"2023-05-10",32.2844580690694,35.2413885019942,40.5526650175078,53.5186152777778,0.568645049226189,22.6651417152427,26.4326553461481,31.6427520791479,29.2085902777778,0.830731725274104,1.45133049951466,1.36196647894403,1.31675559885533
"2023-05-11",37.5930125473708,34.2492762202354,35.6272847377069,52.0728201388889,-0.144877881515754,22.965337987775,23.1321764166492,24.9839209531803,28.5572013888889,0.2645191253582,1.62637989779209,1.48412791929557,1.42387691484916
"2023-05-12",19.4654241364215,19.2642044032776,21.1539173163452,48.5893775280899,0.319509257121455,13.8571909310324,14.6563587717816,16.4914048016604,27.0270411985019,0.523119535714176,1.38580620279819,1.31190169694333,1.27839782139669
"2023-05-13",14.1586415801334,16.9859651998265,21.1789771451013,42.2976326388889,1.12184034034688,13.008224268173,15.0314766038899,18.6869838129956,24.7306006944444,1.00084650699351,1.08663741261256,1.11978564652011,1.12279127263983
"2023-05-14",10.2515297599138,12.6339015859951,15.8187032095046,38.9750631944444,1.34697423733049,9.74573267197552,11.3088181383558,14.1568423980929,23.5780798611111,1.05609311749476,1.02743644044242,1.10104711361133,1.10843117544375
"2023-05-15",20.552135039476,26.412516536913,34.0843296464578,38.4442402777778,1.44726047494194,17.0123641291038,22.8957146831161,30.2412054259892,23.3245520833333,1.60194633190057,1.18134167312945,1.12765173259931,1.10343542338087
"2023-05-16",14.2185166139174,17.2197755092126,21.0802672735804,35.8546256944444,1.13003297414104,12.0143422326788,15.1231322418478,19.1764286421989,22.1960034722222,1.36670978284001,1.18154277280143,1.12764411921579,1.08612257651795
"2023-05-17",28.5067786768551,30.472685334596,34.5632465093927,42.8833618055556,0.647250911880133,20.9232781253518,23.963648416157,28.1255606391624,25.1860625,0.901621543658379,1.32338324268288,1.24734278299656,1.21189575556483
"2023-05-18",31.9551720870421,34.3831418398771,39.1144968130641,42.877025,0.635196245898832,23.7445378708883,26.8544937522401,31.5853309627751,24.9422951388889,0.832021087320231,1.32462443150567,1.27102411850193,1.22929629374862
"2023-05-19",35.3204013696275,41.763955657169,50.1786959320078,45.1872020833333,1.06950412772366,28.5610622135967,35.2195343972835,43.115443736328,26.0838263888889,1.22091918776402,1.2462575684888,1.20073404792967,1.17720119299474
"2023-05-20",22.9859564581531,28.4386174321988,35.6918639641173,43.18818125,1.26143503722792,21.5225230400359,26.150883046919,32.8105092959453,25.2720520833333,1.21711638577653,1.08854355747823,1.09652479247938,1.09529297923195
"2023-05-21",26.0024339157263,32.5465984565723,41.1801463938301,44.6840909722222,1.34131748042564,20.2453335856399,27.8401541999341,36.2679117921188,25.9450729166667,1.70639490180995,1.30234327518102,1.18506211735869,1.14739406730753
"2023-05-22",31.2352531724207,37.8214679904546,46.5478544981296,47.9927964285714,1.16907337649036,24.1068509921994,30.9876197002614,39.4118293059484,26.8775214285714,1.4473575245464,1.30010096499688,1.22155757402658,1.18042921140191
"2023-05-23",35.0384144593677,33.7269712903491,35.2318736462156,52.6445840277778,0.0481911442040687,28.7618878205792,29.0828604920499,30.8509686330726,29.0460902777778,0.232308900648169,1.2278330169978,1.17362612240551,1.15207758081075
"2023-05-24",36.1344404936855,40.8362584995194,48.16637630346,53.7364069444444,0.779089371357222,28.8904054818814,34.1621938831507,41.0358280952613,29.4734722222222,0.980849060896433,1.25187920566629,1.19044538360427,1.16587251756071
"2023-05-25",48.8022369297054,59.8098625711309,73.8682897730091,52.2800597222222,1.17545743371327,37.2460619587412,49.7604375118249,63.2340398312824,28.9231006944444,1.47787381082007,1.29928232934284,1.20118580412083,1.17108606039313
"2023-05-26",53.9156062083928,60.4515648581894,71.0239023328212,54.6041430555556,0.82461694923798,37.6452514241563,45.1058180788928,54.430469983339,29.7969513888889,1.08006245253784,1.43056566108013,1.3407467194644,1.30790894622135
"2023-05-27",42.9930344599481,47.667342684293,55.5211832085534,47.10424375,0.737304432551715,34.2528578197778,39.7602888617619,46.8396967135252,26.9101284722222,0.90284926425972,1.25554030678349,1.19854553694661,1.18539614945161
"2023-05-28",49.7108260991287,50.7325558658362,55.4821118540656,54.9097506944444,0.343533717123554,39.8220356741123,42.7684652716763,47.4721010980857,30.0019097222222,0.538430753534024,1.24555353718768,1.18471011392408,1.16514008007445
"2023-05-29",25.3522821339807,29.6649102857838,35.3627927260889,51.8517090277778,0.956310281262661,21.2769630277152,25.0550808184975,30.2635247279303,28.7051770833333,1.00268635462922,1.20100382011606,1.18382186629332,1.16866118437569
"2023-05-30",41.724701501037,51.4274345977355,63.8405138475118,54.4151234042553,1.10649522775033,32.1947175508613,42.6196069211513,54.3579382962565,30.0785709219858,1.37107527644725,1.35582233848506,1.26118633200414,1.22217741783747
"2023-05-31",36.737701605745,43.1208965014675,52.2283518211482,49.9380145833333,1.01097056494636,30.9156694469785,38.5791482373555,47.457775712529,28.0626423611111,1.21819564053579,1.17825219605847,1.11465586518486,1.09808301423456
"2023-06-01",46.1757991422458,54.9762528712947,66.9944496615561,53.8925666666667,1.06794207444507,33.0627524150746,43.3643542795417,54.4323046073669,27.3586354166667,1.43617721310261,1.40276014631862,1.27749727950574,1.24024738568766
"2023-06-02",54.6500791850411,66.8460137289484,82.8965252925597,55.926202919708,1.21364680411428,41.0842749865099,53.8191289167243,68.8986991893801,28.572496350365,1.49966272536545,1.33032114468185,1.24602421699333,1.20717091094303
